exp_id,scenario,alpha,replicate,t,rho,A_true,A_obs,rho_base,pert_on,pert_off,rho_pert
1,S1,0.7,3,10.0,0.35,1.8774290504326,1.8996818889178044,0.35,3.0,5.0,0.2
1,S1,0.7,3,11.0,0.35,1.90730300193543,1.9078069102109243,0.35,3.0,5.0,0.2
1,S1,0.7,3,12.0,0.35,1.9274001416421445,1.9476111402947498,0.35,3.0,5.0,0.2
1,S1,0.7,3,13.0,0.35,1.9415255289631626,1.9586121862147314,0.35,3.0,5.0,0.2
1,S1,0.7,3,14.0,0.35,1.9518135455195593,1.9580242518661004,0.35,3.0,5.0,0.2
1,S1,0.7,3,15.0,0.35,1.9595305867333521,1.9519815177343809,0.35,3.0,5.0,0.2
1,S1,0.7,3,16.0,0.35,1.9654639524475739,1.9736601686032176,0.35,3.0,5.0,0.2
1,S1,0.7,3,17.0,0.35,1.9701227286240504,1.9838475515263583,0.35,3.0,5.0,0.2
1,S1,0.7,3,18.0,0.35,1.9738473320389072,1.9743008071890775,0.35,3.0,5.0,0.2
1,S1,0.7,3,19.0,0.35,1.9768720750200264,1.969677617647252,0.35,3.0,5.0,0.2
1,S1,0.7,3,20.0,0.35,1.9793623518484058,1.9896260842926643,0.35,3.0,5.0,0.2
1,S1,0.7,4,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,4,1.0,0.35,1.9992576234778643,1.999476422436035,0.35,3.0,5.0,0.2
1,S1,0.7,4,2.0,0.35,1.9990462441818124,2.009772219153782,0.35,3.0,5.0,0.2
1,S1,0.7,4,3.0,0.2,1.9449703154100673,1.9492091626841053,0.35,3.0,5.0,0.2
1,S1,0.7,4,4.0,0.2,0.9231180080355952,0.9043779432518138,0.35,3.0,5.0,0.2
1,S1,0.7,4,5.0,0.2,0.6186233410609887,0.6098209523149551,0.35,3.0,5.0,0.2
1,S1,0.7,4,6.0,0.35,1.3083540996514522,1.3122116942657964,0.35,3.0,5.0,0.2
1,S1,0.7,4,7.0,0.35,1.6058594317932429,1.6019535136148346,0.35,3.0,5.0,0.2
1,S1,0.7,4,8.0,0.35,1.7514871281482294,1.7682718124805639,0.35,3.0,5.0,0.2
1,S1,0.7,4,9.0,0.35,1.8305147798041146,1.854628614735836,0.35,3.0,5.0,0.2
1,S1,0.7,4,10.0,0.35,1.8774290504326,1.8996200638331793,0.35,3.0,5.0,0.2
1,S1,0.7,4,11.0,0.35,1.90730300193543,1.9144230023682633,0.35,3.0,5.0,0.2
1,S1,0.7,4,12.0,0.35,1.9274001416421445,1.9345650246232076,0.35,3.0,5.0,0.2
1,S1,0.7,4,13.0,0.35,1.9415255289631626,1.9438114658763297,0.35,3.0,5.0,0.2
1,S1,0.7,4,14.0,0.35,1.9518135455195593,1.9541709207510405,0.35,3.0,5.0,0.2
1,S1,0.7,4,15.0,0.35,1.9595305867333521,1.953726215760155,0.35,3.0,5.0,0.2
1,S1,0.7,4,16.0,0.35,1.9654639524475739,1.987915008060955,0.35,3.0,5.0,0.2
1,S1,0.7,4,17.0,0.35,1.9701227286240504,1.9766086508896745,0.35,3.0,5.0,0.2
1,S1,0.7,4,18.0,0.35,1.9738473320389072,1.9683527049365608,0.35,3.0,5.0,0.2
1,S1,0.7,4,19.0,0.35,1.9768720750200264,1.9772404292997967,0.35,3.0,5.0,0.2
1,S1,0.7,4,20.0,0.35,1.9793623518484058,1.9737051326468462,0.35,3.0,5.0,0.2
1,S1,0.7,5,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,5,1.0,0.35,1.9992576234778643,1.97290649016915,0.35,3.0,5.0,0.2
1,S1,0.7,5,2.0,0.35,1.9990462441818124,1.9920067084120021,0.35,3.0,5.0,0.2
1,S1,0.7,5,3.0,0.2,1.9449703154100673,1.9339026308232503,0.35,3.0,5.0,0.2
1,S1,0.7,5,4.0,0.2,0.9231180080355952,0.9197358198290795,0.35,3.0,5.0,0.2
1,S1,0.7,5,5.0,0.2,0.6186233410609887,0.6162227726739415,0.35,3.0,5.0,0.2
1,S1,0.7,5,6.0,0.35,1.3083540996514522,1.3048765365035002,0.35,3.0,5.0,0.2
1,S1,0.7,5,7.0,0.35,1.6058594317932429,1.5996187937962527,0.35,3.0,5.0,0.2
1,S1,0.7,5,8.0,0.35,1.7514871281482294,1.749065295572366,0.35,3.0,5.0,0.2
1,S1,0.7,5,9.0,0.35,1.8305147798041146,1.8182275189562311,0.35,3.0,5.0,0.2
1,S1,0.7,5,10.0,0.35,1.8774290504326,1.8764700421848073,0.35,3.0,5.0,0.2
1,S1,0.7,5,11.0,0.35,1.90730300193543,1.9088957574276153,0.35,3.0,5.0,0.2
1,S1,0.7,5,12.0,0.35,1.9274001416421445,1.9377187369208917,0.35,3.0,5.0,0.2
1,S1,0.7,5,13.0,0.35,1.9415255289631626,1.9297536343918797,0.35,3.0,5.0,0.2
1,S1,0.7,5,14.0,0.35,1.9518135455195593,1.9587062854352848,0.35,3.0,5.0,0.2
1,S1,0.7,5,15.0,0.35,1.9595305867333521,1.9782288108243806,0.35,3.0,5.0,0.2
1,S1,0.7,5,16.0,0.35,1.9654639524475739,1.980431730285995,0.35,3.0,5.0,0.2
1,S1,0.7,5,17.0,0.35,1.9701227286240504,1.969217410769842,0.35,3.0,5.0,0.2
1,S1,0.7,5,18.0,0.35,1.9738473320389072,1.9674373182070497,0.35,3.0,5.0,0.2
1,S1,0.7,5,19.0,0.35,1.9768720750200264,1.9799622950778162,0.35,3.0,5.0,0.2
1,S1,0.7,5,20.0,0.35,1.9793623518484058,1.9805314847687236,0.35,3.0,5.0,0.2
1,S1,0.7,6,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,6,1.0,0.35,1.9992576234778643,2.013372123362874,0.35,3.0,5.0,0.2
1,S1,0.7,6,2.0,0.35,1.9990462441818124,2.0216843764652355,0.35,3.0,5.0,0.2
1,S1,0.7,6,3.0,0.2,1.9449703154100673,1.9740334598607188,0.35,3.0,5.0,0.2
1,S1,0.7,6,4.0,0.2,0.9231180080355952,0.9305105481789188,0.35,3.0,5.0,0.2
1,S1,0.7,6,5.0,0.2,0.6186233410609887,0.6252098905151386,0.35,3.0,5.0,0.2
1,S1,0.7,6,6.0,0.35,1.3083540996514522,1.3170499286940136,0.35,3.0,5.0,0.2
1,S1,0.7,6,7.0,0.35,1.6058594317932429,1.618683597104604,0.35,3.0,5.0,0.2
1,S1,0.7,6,8.0,0.35,1.7514871281482294,1.7427170919636128,0.35,3.0,5.0,0.2
1,S1,0.7,6,9.0,0.35,1.8305147798041146,1.8132031197582144,0.35,3.0,5.0,0.2
1,S1,0.7,6,10.0,0.35,1.8774290504326,1.8654317728647307,0.35,3.0,5.0,0.2
1,S1,0.7,6,11.0,0.35,1.90730300193543,1.906120518791102,0.35,3.0,5.0,0.2
1,S1,0.7,6,12.0,0.35,1.9274001416421445,1.9405661569236128,0.35,3.0,5.0,0.2
1,S1,0.7,6,13.0,0.35,1.9415255289631626,1.9500611702370727,0.35,3.0,5.0,0.2
1,S1,0.7,6,14.0,0.35,1.9518135455195593,1.9445003111459938,0.35,3.0,5.0,0.2
1,S1,0.7,6,15.0,0.35,1.9595305867333521,1.9545042687327743,0.35,3.0,5.0,0.2
1,S1,0.7,6,16.0,0.35,1.9654639524475739,1.9615307223042822,0.35,3.0,5.0,0.2
1,S1,0.7,6,17.0,0.35,1.9701227286240504,1.9659463723616124,0.35,3.0,5.0,0.2
1,S1,0.7,6,18.0,0.35,1.9738473320389072,1.9579360223537272,0.35,3.0,5.0,0.2
1,S1,0.7,6,19.0,0.35,1.9768720750200264,1.9734948763026148,0.35,3.0,5.0,0.2
1,S1,0.7,6,20.0,0.35,1.9793623518484058,1.9766272767248705,0.35,3.0,5.0,0.2
1,S1,0.7,7,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,7,1.0,0.35,1.9992576234778643,2.013607134936417,0.35,3.0,5.0,0.2
1,S1,0.7,7,2.0,0.35,1.9990462441818124,1.9875496624872462,0.35,3.0,5.0,0.2
1,S1,0.7,7,3.0,0.2,1.9449703154100673,1.949355372267396,0.35,3.0,5.0,0.2
1,S1,0.7,7,4.0,0.2,0.9231180080355952,0.9160660890258214,0.35,3.0,5.0,0.2
1,S1,0.7,7,5.0,0.2,0.6186233410609887,0.6078623713066803,0.35,3.0,5.0,0.2
1,S1,0.7,7,6.0,0.35,1.3083540996514522,1.297272361482238,0.35,3.0,5.0,0.2
1,S1,0.7,7,7.0,0.35,1.6058594317932429,1.6067501419669985,0.35,3.0,5.0,0.2
1,S1,0.7,7,8.0,0.35,1.7514871281482294,1.752814014852521,0.35,3.0,5.0,0.2
1,S1,0.7,7,9.0,0.35,1.8305147798041146,1.8340532255139859,0.35,3.0,5.0,0.2
1,S1,0.7,7,10.0,0.35,1.8774290504326,1.876486035522066,0.35,3.0,5.0,0.2
1,S1,0.7,7,11.0,0.35,1.90730300193543,1.9093342654073913,0.35,3.0,5.0,0.2
1,S1,0.7,7,12.0,0.35,1.9274001416421445,1.9293115600542479,0.35,3.0,5.0,0.2
1,S1,0.7,7,13.0,0.35,1.9415255289631626,1.9444739372221698,0.35,3.0,5.0,0.2
1,S1,0.7,7,14.0,0.35,1.9518135455195593,1.937044096919086,0.35,3.0,5.0,0.2
1,S1,0.7,7,15.0,0.35,1.9595305867333521,1.960017255491393,0.35,3.0,5.0,0.2
