time,state
0,5.460549503
0.01,5.46073357016658
0.02,5.46086731623951
0.03,5.46098590726929
0.04,5.46109516998364
0.05,5.46119769961304
0.06,5.46129496413158
0.07,5.4613879061158
0.08,5.46147718123491
0.09,5.46156327162001
0.1,5.461646546589
0.11,5.46172729806805
0.12,5.46180576262525
0.13,5.46188213588437
0.14,5.46195658234443
0.15,5.46202924229708
0.16,5.46210023683811
0.17,5.46216967158608
0.18,5.46223763949903
0.19,5.46230422304663
0.2,5.46236949591194
0.21,5.4624335243434
0.22,5.4624963682425
0.23,5.46255808204855
0.24,5.4626187154658
0.25,5.46267831406657
0.26,5.46273691979557
0.27,5.46279457139506
0.28,5.46285130476561
0.29,5.46290715327435
0.3,5.46296214801989
0.31,5.46301631806126
0.32,5.46306969061682
0.33,5.46312229123788
0.34,5.46317414396098
0.35,5.46322527144196
0.36,5.46327569507454
0.37,5.46332543509551
0.38,5.46337451067848
0.39,5.46342294001756
0.4,5.46347074040245
0.41,5.46351792828591
0.42,5.46356451934465
0.43,5.46361052853427
0.44,5.46365597013915
0.45,5.46370085781775
0.46,5.46374520464386
0.47,5.46378902314424
0.48,5.46383232533304
0.49,5.4638751227434
0.5,5.46391742645637
0.51,5.46395924712761
0.52,5.46400059501194
0.53,5.46404147998601
0.54,5.46408191156926
0.55,5.46412189894339
0.56,5.46416145097029
0.57,5.46420057620884
0.58,5.46423928293042
0.59,5.46427757913343
0.6,5.4643154725568
0.61,5.46435297069262
0.62,5.4643900807979
0.63,5.46442680990567
0.64,5.4644631648353
0.65,5.46449915220222
0.66,5.464534778427
0.67,5.46457004974399
0.68,5.46460497220933
0.69,5.46463955170857
0.7,5.46467379396384
0.71,5.46470770454059
0.72,5.46474128885397
0.73,5.4647745521749
0.74,5.46480749963575
0.75,5.46484013623575
0.76,5.46487246684612
0.77,5.46490449621492
0.78,5.46493622897165
0.79,5.46496766963167
0.8,5.46499882260031
0.81,5.46502969217687
0.82,5.46506028255833
0.83,5.46509059784302
0.84,5.46512064203393
0.85,5.46515041904209
0.86,5.46517993268956
0.87,5.46520918671249
0.88,5.46523818476388
0.89,5.46526693041636
0.9,5.46529542716472
0.91,5.46532367842842
0.92,5.46535168755395
0.93,5.46537945781711
0.94,5.46540699242517
0.95,5.46543429451898
0.96,5.46546136717495
0.97,5.46548821340698
0.98,5.46551483616829
0.99,5.46554123835323
1,5.46556742279893
1.01,5.46559339228696
1.02,5.4656191495449
1.03,5.46564469724786
1.04,5.46567003801992
1.05,5.46569517443554
1.06,5.46572010902091
1.07,5.46574484425525
1.08,5.46576938257207
1.09,5.46579372636036
1.1,5.46581787796578
1.11,5.46584183969178
1.12,5.46586561380065
1.13,5.46588920251463
1.14,5.46591260801688
1.15,5.46593583245246
1.16,5.46595887792931
1.17,5.46598174651911
1.18,5.46600444025822
1.19,5.4660269611485
1.2,5.46604931115815
1.21,5.4660714922225
1.22,5.46609350624481
1.23,5.466115355097
1.24,5.46613704062038
1.25,5.46615856462637
1.26,5.46617992889716
1.27,5.46620113518641
1.28,5.46622218521984
1.29,5.4662430806959
1.3,5.46626382328637
1.31,5.46628441463691
1.32,5.46630485636766
1.33,5.46632515007381
1.34,5.4663452973261
1.35,5.46636529967136
1.36,5.46638515863302
1.37,5.46640487571159
1.38,5.46642445238516
1.39,5.46644389010986
1.4,5.46646319032028
1.41,5.46648235442997
1.42,5.46650138383181
1.43,5.46652027989847
1.44,5.46653904398281
1.45,5.46655767741825
1.46,5.46657618151916
1.47,5.46659455758128
1.48,5.46661280688202
1.49,5.46663093068087
1.5,5.46664893021969
1.51,5.46666680672311
1.52,5.46668456139883
1.53,5.46670219543792
1.54,5.46671971001517
1.55,5.46673710628937
1.56,5.46675438540362
1.57,5.46677154848562
1.58,5.46678859664795
1.59,5.46680553098833
1.6,5.46682235258993
1.61,5.46683906252158
1.62,5.4668556618381
1.63,5.46687215158045
1.64,5.46688853277609
1.65,5.46690480643913
1.66,5.46692097357059
1.67,5.46693703515866
1.68,5.46695299217887
1.69,5.46696884559437
1.7,5.46698459635607
1.71,5.46700024540291
1.72,5.46701579366205
1.73,5.46703124204903
1.74,5.46704659146804
1.75,5.46706184281203
1.76,5.46707699696294
1.77,5.46709205479189
1.78,5.46710701715933
1.79,5.46712188491524
1.8,5.46713665889928
1.81,5.46715133994097
1.82,5.46716592885985
1.83,5.46718042646564
1.84,5.46719483355842
1.85,5.46720915092872
1.86,5.46722337935775
1.87,5.4672375196175
1.88,5.46725157247088
1.89,5.46726553867189
1.9,5.46727941896575
1.91,5.46729321408902
1.92,5.46730692476974
1.93,5.46732055172758
1.94,5.46733409567395
1.95,5.46734755731211
1.96,5.46736093733732
1.97,5.46737423643698
1.98,5.46738745529067
1.99,5.46740059457035
2,5.46741365494042
2.01,5.46742663705788
2.02,5.46743954157237
2.03,5.46745236912636
2.04,5.46746512035517
2.05,5.46747779588716
2.06,5.46749039634374
2.07,5.46750292233957
2.08,5.46751537448256
2.09,5.46752775337403
2.1,5.46754005960879
2.11,5.46755229377521
2.12,5.46756445645536
2.13,5.46757654822503
2.14,5.46758856965387
2.15,5.46760052130547
2.16,5.46761240373742
2.17,5.46762421750142
2.18,5.46763596314334
2.19,5.46764764120331
2.2,5.4676592522158
2.21,5.46767079670971
2.22,5.4676822752084
2.23,5.46769368822982
2.24,5.46770503628654
2.25,5.46771631988587
2.26,5.46772753952986
2.27,5.46773869571546
2.28,5.46774978893449
2.29,5.46776081967379
2.3,5.46777178841525
2.31,5.46778269563585
2.32,5.46779354180779
2.33,5.46780432739849
2.34,5.46781505287069
2.35,5.46782571868247
2.36,5.46783632528738
2.37,5.46784687313443
2.38,5.46785736266816
2.39,5.46786779432875
2.4,5.46787816855199
2.41,5.46788848576942
2.42,5.46789874640833
2.43,5.46790895089183
2.44,5.4679190996389
2.45,5.46792919306445
2.46,5.46793923157935
2.47,5.46794921559051
2.48,5.46795914550091
2.49,5.46796902170965
2.5,5.467978844612
2.51,5.46798861459944
2.52,5.46799833205973
2.53,5.46800799737692
2.54,5.46801761093142
2.55,5.46802717310005
2.56,5.46803668425605
2.57,5.46804614476917
2.58,5.46805555500565
2.59,5.46806491532834
2.6,5.46807422609667
2.61,5.46808348766672
2.62,5.46809270039128
2.63,5.46810186461985
2.64,5.46811098069869
2.65,5.46812004897089
2.66,5.46812906977636
2.67,5.4681380434519
2.68,5.46814697033122
2.69,5.46815585074498
2.7,5.46816468502084
2.71,5.46817347348345
2.72,5.46818221645455
2.73,5.46819091425296
2.74,5.46819956719461
2.75,5.46820817559259
2.76,5.46821673975718
2.77,5.4682252599959
2.78,5.46823373661347
2.79,5.46824216991195
2.8,5.46825056019067
2.81,5.46825890774633
2.82,5.46826721287299
2.83,5.46827547586211
2.84,5.46828369700258
2.85,5.46829187658077
2.86,5.46830001488051
2.87,5.46830811218316
2.88,5.46831616876761
2.89,5.46832418491034
2.9,5.46833216088542
2.91,5.46834009696452
2.92,5.46834799341698
2.93,5.46835585050983
2.94,5.46836366850775
2.95,5.46837144767319
2.96,5.46837918826632
2.97,5.46838689054511
2.98,5.46839455476529
2.99,5.46840218118045
3,5.46840977004198
3.01,5.46841732159918
3.02,5.46842483609921
3.03,5.46843231378715
3.04,5.46843975490602
3.05,5.46844715969678
3.06,5.46845452839838
3.07,5.46846186124776
3.08,5.46846915847988
3.09,5.46847642032775
3.1,5.46848364702242
3.11,5.46849083879304
3.12,5.46849799586685
3.13,5.46850511846921
3.14,5.46851220682361
3.15,5.46851926115171
3.16,5.46852628167335
3.17,5.46853326860657
3.18,5.46854022216759
3.19,5.4685471425709
3.2,5.46855403002922
3.21,5.46856088475355
3.22,5.46856770695316
3.23,5.46857449683565
3.24,5.4685812546069
3.25,5.46858798047116
3.26,5.46859467463102
3.27,5.46860133728744
3.28,5.46860796863977
3.29,5.46861456888575
3.3,5.46862113822156
3.31,5.4686276768418
3.32,5.46863418493952
3.33,5.46864066270623
3.34,5.46864711033192
3.35,5.46865352800509
3.36,5.46865991591273
3.37,5.46866627424037
3.38,5.46867260317206
3.39,5.46867890289042
3.4,5.46868517357662
3.41,5.46869141541043
3.42,5.4686976285702
3.43,5.46870381323289
3.44,5.46870996957409
3.45,5.46871609776801
3.46,5.46872219798751
3.47,5.46872827040412
3.48,5.46873431518803
3.49,5.46874033250814
