run,b,ic_id,ic_val,t,x
1,20,1,0.00463759529262879,0,0.00463759529262879
1,20,1,0.00463759529262879,0.01,0.00284813665543926
1,20,1,0.00463759529262879,0.02,0.00206024257427295
1,20,1,0.00463759529262879,0.03,0.00157342278972855
1,20,1,0.00463759529262879,0.04,0.00124786850847896
1,20,1,0.00463759529262879,0.05,0.00102040070605014
1,20,1,0.00463759529262879,0.06,0.000854627511059507
1,20,1,0.00463759529262879,0.07,0.000730248706310778
1,20,1,0.00463759529262879,0.08,0.000634578600578141
1,20,1,0.00463759529262879,0.09,0.000559389968509749
1,20,1,0.00463759529262879,0.1,0.000499172839364275
1,20,1,0.00463759529262879,0.11,0.000450135161109954
1,20,1,0.00463759529262879,0.12,0.000409604770857812
1,20,1,0.00463759529262879,0.13,0.000375658964029856
1,20,1,0.00463759529262879,0.14,0.000346888239535577
1,20,1,0.00463759529262879,0.15,0.000322241759613082
1,20,1,0.00463759529262879,0.16,0.000300923982725423
1,20,1,0.00463759529262879,0.17,0.000282324134194459
1,20,1,0.00463759529262879,0.18,0.000265967209683778
1,20,1,0.00463759529262879,0.19,0.000251479375535599
1,20,1,0.00463759529262879,0.2,0.000238563165922769
1,20,1,0.00463759529262879,0.21,0.000226979454790644
1,20,1,0.00463759529262879,0.22,0.000216534182697391
1,20,1,0.00463759529262879,0.23,0.000207068466949421
1,20,1,0.00463759529262879,0.24,0.000198451149946175
1,20,1,0.00463759529262879,0.25,0.000190573125661291
1,20,1,0.00463759529262879,0.26,0.000183342977392591
1,20,1,0.00463759529262879,0.27,0.000176683592649033
1,20,1,0.00463759529262879,0.28,0.000170529513381238
1,20,1,0.00463759529262879,0.29,0.00016482484474766
1,20,1,0.00463759529262879,0.3,0.000159521591855184
1,20,1,0.00463759529262879,0.31,0.000154578327162951
1,20,1,0.00463759529262879,0.32,0.000149959115379715
1,20,1,0.00463759529262879,0.33,0.000145632640377474
1,20,1,0.00463759529262879,0.34,0.000141571491723667
1,20,1,0.00463759529262879,0.35,0.000137751578184662
1,20,1,0.00463759529262879,0.36,0.000134151642881367
1,20,1,0.00463759529262879,0.37,0.000130752860325148
1,20,1,0.00463759529262879,0.38,0.000127538499792391
1,20,1,0.00463759529262879,0.39,0.000124493642749143
1,20,1,0.00463759529262879,0.4,0.00012160494454241
1,20,1,0.00463759529262879,0.41,0.000118860432536248
1,20,1,0.00463759529262879,0.42,0.000116249334395121
1,20,1,0.00463759529262879,0.43,0.000113761931420382
1,20,1,0.00463759529262879,0.44,0.00011138943280463
1,20,1,0.00463759529262879,0.45,0.000109123867417243
1,20,1,0.00463759529262879,0.46,0.000106957990353539
1,20,1,0.00463759529262879,0.47,0.000104885201955188
1,20,1,0.00463759529262879,0.48,0.000102899477411458
1,20,1,0.00463759529262879,0.49,0.000100995305370603
1,20,1,0.00463759529262879,0.5,9.91676342441352e-05
1,20,1,0.00463759529262879,0.51,9.74118251085201e-05
1,20,1,0.00463759529262879,0.52,9.5723610278263e-05
1,20,1,0.00463759529262879,0.53,9.40990567721226e-05
1,20,1,0.00463759529262879,0.54,9.25345340117018e-05
1,20,1,0.00463759529262879,0.55,9.10266851903604e-05
1,20,1,0.00463759529262879,0.56,8.95724018401782e-05
1,20,1,0.00463759529262879,0.57,8.81688011823129e-05
1,20,1,0.00463759529262879,0.58,8.68132059187617e-05
1,20,1,0.00463759529262879,0.59,8.55031261553533e-05
1,20,1,0.00463759529262879,0.6,8.42362432086433e-05
1,20,1,0.00463759529262879,0.61,8.30103950621267e-05
1,20,1,0.00463759529262879,0.62,8.18235632856099e-05
1,20,1,0.00463759529262879,0.63,8.06738612465146e-05
1,20,1,0.00463759529262879,0.64,7.95595234638573e-05
1,20,1,0.00463759529262879,0.65,7.84788959843987e-05
